eventid,timestamp,src_ip,dst_ip,session,duration
cowrie.session.connect,2021-02-12 11:00:29.659248+00:00,46.101.170.78,155.232.195.82,b6163e070819,
cowrie.session.connect,2021-02-12 11:00:29.663146+00:00,46.101.170.78,155.232.195.82,f3d415cd95ad,
cowrie.session.connect,2021-02-12 11:00:29.665013+00:00,46.101.170.78,155.232.195.82,2e371f131659,
cowrie.session.connect,2021-02-12 11:00:29.666907+00:00,46.101.170.78,155.232.195.82,808acb3a3408,
cowrie.client.version,2021-02-12 11:00:29.668263+00:00,46.101.170.78,,2818b81df37e,
cowrie.client.version,2021-02-12 11:00:29.669467+00:00,46.101.170.78,,b6163e070819,
cowrie.client.version,2021-02-12 11:00:29.670523+00:00,46.101.170.78,,f3d415cd95ad,
cowrie.client.version,2021-02-12 11:00:29.671669+00:00,46.101.170.78,,2e371f131659,
cowrie.client.version,2021-02-12 11:00:29.672518+00:00,46.101.170.78,,808acb3a3408,
cowrie.session.connect,2021-02-12 11:00:29.706882+00:00,46.101.170.78,155.232.195.82,2c66ac8680e8,
cowrie.client.version,2021-02-12 11:00:29.708190+00:00,46.101.170.78,,2c66ac8680e8,
cowrie.client.kex,2021-02-12 11:00:29.857323+00:00,46.101.170.78,,b6163e070819,
cowrie.client.kex,2021-02-12 11:00:29.863788+00:00,46.101.170.78,,2818b81df37e,
cowrie.client.kex,2021-02-12 11:00:29.866546+00:00,46.101.170.78,,2e371f131659,
cowrie.client.kex,2021-02-12 11:00:29.869142+00:00,46.101.170.78,,808acb3a3408,
cowrie.session.closed,2021-02-12 11:00:29.872672+00:00,46.101.170.78,,85f92b53c8ea,52.76269865036011
cowrie.client.kex,2021-02-12 11:00:29.876801+00:00,46.101.170.78,,f3d415cd95ad,
cowrie.client.kex,2021-02-12 11:00:29.906462+00:00,46.101.170.78,,2c66ac8680e8,
cowrie.login.success,2021-02-12 11:00:30.628456+00:00,46.101.170.78,,b6163e070819,
cowrie.login.success,2021-02-12 11:00:30.701661+00:00,46.101.170.78,,2818b81df37e,
cowrie.login.success,2021-02-12 11:00:30.704698+00:00,46.101.170.78,,2e371f131659,
cowrie.login.success,2021-02-12 11:00:30.707318+00:00,46.101.170.78,,808acb3a3408,
cowrie.login.success,2021-02-12 11:00:30.740884+00:00,46.101.170.78,,2c66ac8680e8,
cowrie.login.success,2021-02-12 11:00:30.770820+00:00,46.101.170.78,,f3d415cd95ad,
cowrie.session.params,2021-02-12 11:00:31.099932+00:00,46.101.170.78,,b6163e070819,
cowrie.command.input,2021-02-12 11:00:31.100828+00:00,46.101.170.78,,b6163e070819,
cowrie.session.params,2021-02-12 11:00:31.138478+00:00,46.101.170.78,,2818b81df37e,
cowrie.command.input,2021-02-12 11:00:31.139313+00:00,46.101.170.78,,2818b81df37e,
cowrie.session.params,2021-02-12 11:00:31.250128+00:00,46.101.170.78,,2e371f131659,
cowrie.command.input,2021-02-12 11:00:31.250984+00:00,46.101.170.78,,2e371f131659,
cowrie.session.params,2021-02-12 11:00:31.410980+00:00,46.101.170.78,,808acb3a3408,
cowrie.command.input,2021-02-12 11:00:31.411825+00:00,46.101.170.78,,808acb3a3408,
cowrie.session.params,2021-02-12 11:00:31.451971+00:00,46.101.170.78,,2c66ac8680e8,
